method,bits,relative_mse_mean,relative_mse_median,relative_mse_min,relative_mse_max,cosine_mean,cosine_median,cosine_min,cosine_max,sqnr_db_mean,sqnr_db_median,sqnr_db_min,sqnr_db_max,relative_mse_p90,cosine_p90,sqnr_db_p90
direct_absmax,2,0.5970140716859272,0.5952710807323456,0.4891491234302521,0.6403207778930664,0.7301467475178954,0.7334360182285309,0.6759243011474609,0.7444613575935364,2.241230701471304,2.2528520822525024,1.936024188995361,3.1055874824523926,0.6098738312721252,0.738366448879242,2.2852458477020265
direct_absmax,3,0.08359120645886887,0.0804049335420131,0.0765024200081825,0.1619063019752502,0.9612620596761827,0.9626639783382416,0.9213821291923524,0.9650297164916992,10.806615615819956,10.947173118591309,7.907362461090088,11.163249015808104,0.09101520851254465,0.9645225524902343,11.099684906005859
direct_absmax,4,0.015668088092480718,0.01488051284104585,0.0140789048746228,0.04566590487957,0.9924708813815922,0.9926737844944,0.977644383907318,0.9939900636672974,18.106926955185926,18.273820877075195,13.40407943725586,18.514310836791992,0.016935135424137052,0.9936700344085693,18.42635726928711
hadamard_absmax,2,0.58734642220782,0.5872381627559662,0.5507210493087769,0.5964723229408264,0.7427627668752299,0.7436235547065735,0.7303622364997864,0.7740116715431213,2.3111835377556935,2.311857223510742,2.2440969944000244,2.5906834602355957,0.5916310012340545,0.7445196270942688,2.3261544704437256
hadamard_absmax,3,0.07507331974127071,0.0748106427490711,0.0638497471809387,0.083176277577877,0.9657553945268903,0.9654304683208466,0.9614421129226683,0.9696502089500428,11.246370569452063,11.260366439819336,10.800004959106444,11.948408126831056,0.07681352049112314,0.9672427535057068,11.290175819396973
hadamard_absmax,4,0.0137775344955553,0.0137292258441448,0.0117123872041702,0.0153526375070214,0.9944314434156789,0.9939174056053162,0.9929542541503906,0.9960129261016846,18.609540604925776,18.623539924621582,18.13817024230957,19.313547134399418,0.01408906057476994,0.9958209991455079,18.65121536254883
hadamard_lm,2,0.11622514590233947,0.11590696126222605,0.1089411675930023,0.1254999488592147,0.9412892127965952,0.940997302532196,0.9357033371925354,0.9442326426506042,9.347434644575243,9.358904361724854,9.013565063476562,9.628079414367676,0.11772317886352536,0.942726194858551,9.372534656524659
hadamard_lm,3,0.0340776501537917,0.0339512955397367,0.0316463410854339,0.0374893434345722,0.9840533892055611,0.9835937917232513,0.9816026091575624,0.985640823841095,14.675942098939574,14.691435813903809,14.260921478271484,14.99676513671875,0.03461493924260133,0.9854524970054627,14.710798645019532
hadamard_lm,4,0.00936399464942994,0.0093245301395654,0.0087738716974854,0.0104353986680507,0.9965578925299954,0.9960273504257202,0.9952866435050964,0.9981344938278198,20.286119708767185,20.30372905731201,19.81490898132324,20.568086624145508,0.009516553953289911,0.9979262351989747,20.321438598632813
mxfp4,4,0.014124703351650097,0.01398531952872865,0.0134468199685215,0.023545317351818,0.9957191359687161,0.9941020011901855,0.988242506980896,1.0015201568603516,18.508682473913417,18.543274879455566,16.280954360961914,18.713804244995117,0.01439695451408624,0.9994913816452027,18.62664279937744
randhadamard_lm,2,0.11573751996476925,0.11588862165808675,0.1086137741804122,0.1163869574666023,0.9415497141224998,0.9410094618797302,0.9400074481964112,0.9443395733833312,9.365356457697882,9.359591960906982,9.340956687927246,9.64115047454834,0.11600090116262433,0.9427563309669496,9.378915786743164
randhadamard_lm,3,0.03390457534364288,0.033943030983209554,0.0316370911896228,0.0342661961913108,0.9841416733605521,0.983599841594696,0.9827278852462769,0.985649049282074,14.69752448565,14.692493438720703,14.651341438293455,14.998034477233888,0.03400191180408001,0.9854617178440094,14.711681270599366
randhadamard_lm,4,0.009311572140590661,0.00932105118408795,0.008808416314423,0.0093985954299569,0.9965847208128347,0.996035248041153,0.9952926635742188,0.9981294870376588,20.30984982577237,20.30535125732422,20.269371032714844,20.551021575927734,0.00933820186182854,0.9979280173778533,20.322372817993163
randortho_lm,2,0.11601588013884305,0.1160246171057224,0.11542759090662,0.1167071759700775,0.9413985099111285,0.9408365190029144,0.9399392008781432,0.9428483247756958,9.35483083477268,9.354498863220215,9.329024314880373,9.376903533935549,0.11617808565497395,0.9426695883274079,9.360164260864257
randortho_lm,3,0.033985427955721834,0.03398724831640715,0.0336822345852851,0.0342050716280937,0.9840991055810606,0.9835472404956818,0.9827865362167358,0.985641062259674,14.687081324589716,14.68683910369873,14.65909481048584,14.725991249084473,0.034055845439433984,0.9854333221912384,14.696244335174562
randortho_lm,4,0.009332325944507617,0.009332167915999851,0.0092232190072536,0.0094018913805484,0.996573462888792,0.9960206747055054,0.9952872395515442,0.9981244206428528,20.300112872928768,20.30017375946045,20.26784896850586,20.351173400878903,0.0093564948998391,0.9979141473770142,20.311363029479985
