method_key,method,bits,relative_mse,cosine,sqnr_db
ffn_direct_absmax_w4a4,direct_absmax,W4A4,0.08624904504871335,0.9590654400261965,11.802458156238902
ffn_fp16,fp16,FP16,0.0,1.0000254999507556,96.06340997869319
ffn_mxfp4_w4a4,mxfp4,W4A4,0.0599078011106361,0.9727196855978533,12.332545410503041
ffn_randhadamard_lm_w3a4,randhadamard_lm,W3A4,0.0730211886323311,0.9643471295183356,11.578339490023525
ffn_randhadamard_lm_w4a3,randhadamard_lm,W4A3,0.07771970399401405,0.9644146290692416,11.18896805156361
ffn_randhadamard_lm_w4a4,randhadamard_lm,W4A4,0.030943429563194513,0.9848231646147642,15.430527990514582
ffn_randortho_lm_w3a4,randortho_lm,W3A4,0.07383739364079454,0.9638565291057933,11.569227478720926
ffn_randortho_lm_w4a3,randortho_lm,W4A3,0.07499242379245433,0.9630411836234006,11.5185303254561
ffn_randortho_lm_w4a4,randortho_lm,W4A4,0.03150718144818463,0.9843472648750652,15.36582933772694
ffn_rot_absmax_w4a4,rot_absmax,W4A4,0.0442071489312432,0.9788336808031256,14.140493826432662
ffn_rot_lm_w3a3,rot_lm,W3A3,0.12119676934724505,0.9440227150917053,9.253756219690496
ffn_rot_lm_w3a4,rot_lm,W3A4,0.07306339354677634,0.9644080861048265,11.562464020468973
ffn_rot_lm_w4a3,rot_lm,W4A3,0.07918890972029079,0.9643328812989321,11.1067946173928
ffn_rot_lm_w4a4,rot_lm,W4A4,0.03121174770322713,0.9847824736074968,15.330151081085205
