method,bits,ppl,dataset,dataset_config,split,max_samples,sequence_length,stride,quantized_layers
fp16,16,8.048572581977634,wikitext,wikitext-2-raw-v1,test,512,2048,2048,0
direct_absmax,4,8.884973311437834,wikitext,wikitext-2-raw-v1,test,512,2048,2048,154
direct_absmax,3,16.49097156268802,wikitext,wikitext-2-raw-v1,test,512,2048,2048,154
direct_absmax,2,181702.06774942836,wikitext,wikitext-2-raw-v1,test,512,2048,2048,154
mxfp4,4,8.635010259032164,wikitext,wikitext-2-raw-v1,test,512,2048,2048,154
hadamard_absmax,4,9.082243462581543,wikitext,wikitext-2-raw-v1,test,512,2048,2048,154
hadamard_absmax,3,187.58712289739748,wikitext,wikitext-2-raw-v1,test,512,2048,2048,154
hadamard_absmax,2,122453.60226054525,wikitext,wikitext-2-raw-v1,test,512,2048,2048,154
hadamard_lm,4,8.627246099728302,wikitext,wikitext-2-raw-v1,test,512,2048,2048,154
hadamard_lm,3,12.992704878105924,wikitext,wikitext-2-raw-v1,test,512,2048,2048,154
hadamard_lm,2,19646.836571322987,wikitext,wikitext-2-raw-v1,test,512,2048,2048,154
randhadamard_lm,4,8.610872312063302,wikitext,wikitext-2-raw-v1,test,512,2048,2048,154
randhadamard_lm,3,12.396611298996596,wikitext,wikitext-2-raw-v1,test,512,2048,2048,154
randhadamard_lm,2,20196.897889263742,wikitext,wikitext-2-raw-v1,test,512,2048,2048,154
randortho_lm,4,8.748186036728743,wikitext,wikitext-2-raw-v1,test,512,2048,2048,154
randortho_lm,3,14.305042626405326,wikitext,wikitext-2-raw-v1,test,512,2048,2048,154
randortho_lm,2,5020.989635729974,wikitext,wikitext-2-raw-v1,test,512,2048,2048,154
