site,method,bits,relative_mse,cosine,sqnr_db
attn_input,mxfp4,4,0.02605531034483151,0.9871657030148939,15.91300088709051
attn_input,rot_lm,3,0.032012456096708775,0.9840594638477672,14.95574968511408
attn_input,rot_lm,4,0.008596193320541219,0.9958425191315737,20.661138274452902
attn_input,rot_mxfp4,4,0.012670373925092545,0.9937857308171012,18.980003443631258
ffn_input,mxfp4,4,0.01575447271832011,0.9921427992257205,18.05105616829612
ffn_input,rot_lm,3,0.03369295224547386,0.9830578159202229,14.724898555062033
ffn_input,rot_lm,4,0.009258413052355701,0.9954072778875177,20.334861148487438
ffn_input,rot_mxfp4,4,0.013532443056729708,0.9932666637680747,18.687020648609508
ffn_intermediate,mxfp4,4,0.02299892648377202,0.990630260922692,16.42979552529075
ffn_intermediate,rot_lm,3,0.034426936879754066,0.9860066229646857,14.704425898465244
ffn_intermediate,rot_lm,4,0.008090337950058958,0.9969096834009344,21.138639189980246
ffn_intermediate,rot_mxfp4,4,0.012655128407376733,0.9948688745498657,19.06114136088978
k_proj_out,mxfp4,4,0.02394692510874434,0.9881286187605425,16.27958804910833
k_proj_out,rot_lm,3,0.03264364684847268,0.9835589744827964,14.866757869720459
k_proj_out,rot_lm,4,0.008962138936939564,0.9955099658532576,20.47865069996227
k_proj_out,rot_mxfp4,4,0.013568000529300083,0.9932338053529913,18.67635657570579
q_proj_out,mxfp4,4,0.024645679926669054,0.9878161928870461,16.133993452245537
q_proj_out,rot_lm,3,0.04247807491232048,0.9789380295710131,13.73883511803367
q_proj_out,rot_lm,4,0.011620471804318104,0.9943368434906006,19.388761693781074
q_proj_out,rot_mxfp4,4,0.013126734051514755,0.9934831451285969,18.819853695956144
v_proj_out,mxfp4,4,0.015572572338648817,0.9921986162662506,18.11288408799605
v_proj_out,rot_lm,3,0.0336369127035141,0.9830373119224202,14.732399593700062
v_proj_out,rot_lm,4,0.009251534642482346,0.9953598027879541,20.33864862268621
v_proj_out,rot_mxfp4,4,0.013588908086107536,0.9932170754129236,18.668704813176934
