head_dim,kv_heads,layer,layer_index,max_score_abs_diff,method,output_cosine,output_relative_mse,pass,q_heads,score_relative_mse,sequence_length,softmax_kl
64,4,model.layers.0.self_attn,0,5.7220458984375e-06,no_quant_headwise_hadamard,1.0000512599945068,7.751786680002676e-14,True,32,3.7250110222937505e-14,128,3.590787667206996e-10
64,4,model.layers.1.self_attn,1,8.58306884765625e-06,no_quant_headwise_hadamard,1.0000079870224,1.742379705143085e-13,True,32,2.490397482419332e-14,128,1.3698342460344293e-09
64,4,model.layers.2.self_attn,2,5.7220458984375e-06,no_quant_headwise_hadamard,1.0000159740447998,1.8462779861807416e-13,True,32,4.24641299499786e-14,128,-1.6170038641405426e-09
64,4,model.layers.3.self_attn,3,7.62939453125e-06,no_quant_headwise_hadamard,1.0000131130218506,1.9684945405488985e-13,True,32,3.438668146342645e-14,128,-2.1714871567546368e-10
64,4,model.layers.4.self_attn,4,9.5367431640625e-06,no_quant_headwise_hadamard,1.0000066757202148,1.3273557871330138e-13,True,32,2.956073835149939e-14,128,-1.9607728773962663e-09
64,4,model.layers.5.self_attn,5,7.62939453125e-06,no_quant_headwise_hadamard,1.00001060962677,1.0506707130838663e-13,True,32,2.5376864848315923e-14,128,-1.1923817488934674e-09
64,4,model.layers.6.self_attn,6,9.5367431640625e-06,no_quant_headwise_hadamard,1.0000077486038208,4.819138388042002e-14,True,32,2.6475468274970645e-14,128,1.1629031071436202e-11
64,4,model.layers.7.self_attn,7,7.62939453125e-06,no_quant_headwise_hadamard,1.0000159740447998,4.901110509732305e-14,True,32,3.479351138799269e-14,128,-4.2450187809350837e-10
64,4,model.layers.8.self_attn,8,1.33514404296875e-05,no_quant_headwise_hadamard,1.000009298324585,1.1589026179675832e-13,True,32,3.8315365962458825e-14,128,1.1882418382569426e-09
64,4,model.layers.9.self_attn,9,1.1444091796875e-05,no_quant_headwise_hadamard,1.0000107288360596,7.375502118767141e-14,True,32,3.095538826354896e-14,128,-1.012277150991281e-09
64,4,model.layers.10.self_attn,10,1.52587890625e-05,no_quant_headwise_hadamard,1.0000079870224,1.1952125487241227e-13,True,32,4.178211257337659e-14,128,-1.012429584612562e-09
64,4,model.layers.11.self_attn,11,7.62939453125e-06,no_quant_headwise_hadamard,1.0000102519989014,3.776527904958936e-14,True,32,2.3421814550231117e-14,128,1.8702821513727486e-09
64,4,model.layers.12.self_attn,12,8.58306884765625e-06,no_quant_headwise_hadamard,1.000005841255188,3.7702175095018914e-14,True,32,3.328771042447262e-14,128,-1.5412693343819228e-09
64,4,model.layers.13.self_attn,13,1.1444091796875e-05,no_quant_headwise_hadamard,1.0000104904174805,5.0723710848981154e-14,True,32,4.244502766295212e-14,128,3.0314045718071725e-10
64,4,model.layers.14.self_attn,14,1.9073486328125e-05,no_quant_headwise_hadamard,1.0000054836273193,1.5052423283506977e-13,True,32,5.19017439432317e-14,128,1.1990756165758398e-09
64,4,model.layers.15.self_attn,15,1.1444091796875e-05,no_quant_headwise_hadamard,1.0000110864639282,1.0598694231284123e-13,True,32,2.2688217949339007e-14,128,1.0088141433328701e-09
64,4,model.layers.16.self_attn,16,1.52587890625e-05,no_quant_headwise_hadamard,1.0000040531158447,4.9228037011378456e-14,True,32,3.541001584832226e-14,128,-4.067479686398201e-10
64,4,model.layers.17.self_attn,17,1.9073486328125e-05,no_quant_headwise_hadamard,1.0000110864639282,1.3440664596922614e-13,True,32,4.28176340683175e-14,128,-1.61129509734792e-09
64,4,model.layers.18.self_attn,18,1.33514404296875e-05,no_quant_headwise_hadamard,1.000015139579773,6.479355490725605e-14,True,32,3.199330177953291e-14,128,1.8890156106010636e-09
64,4,model.layers.19.self_attn,19,1.9073486328125e-05,no_quant_headwise_hadamard,1.0000053644180298,1.505709619487039e-13,True,32,4.389390462428491e-14,128,1.6515808720640734e-09
64,4,model.layers.20.self_attn,20,2.288818359375e-05,no_quant_headwise_hadamard,1.0000077486038208,1.749544519674684e-13,True,32,3.575160729529098e-14,128,2.0547126222680845e-09
64,4,model.layers.21.self_attn,21,1.71661376953125e-05,no_quant_headwise_hadamard,1.0000149011611938,1.252416275071902e-13,True,32,3.6137864483634305e-14,128,-4.813870413400423e-10
